batch, round, room, roundTask, performance
1553170862049, 0, B, Stool, 0.0014144271570014145
1553170862049, 1, A, Chair, 0.003654970760233918
1553170862049, 1, B, Chair, 0.004889975550122249
1553170862049, 1, C, Chair, 0.006
1553170862049, 1, D, Chair, 0.003929273084479371
1553170862049, 2, A, Light, 0.000942951438000943
1553170862049, 2, B, Light, 0.0005307855626326964
1553170862049, 2, C, Light, 0.000612619971411068
1553170862049, 2, D, Light, 0.0001419849495953429
1553170862049, 3, B, Clock, 0.00395778364116095
1553170862049, 3, C, Clock, 0.0060406370126304225
1553170862049, 3, D, Clock, 0.006423982869379015
1553019661611, 0, B, Clock, 0.005555555555555556
1553019661611, 0, D, Clock, 0.004672897196261682
1553019661611, 1, C, Light, 0.0017526289434151227
1553019661611, 1, D, Light, 0.00043687199650502403
1553019661611, 2, A, Tea, 0.001639344262295082
1553019661611, 2, C, Tea, 0.0044004400440044
1553019661611, 2, D, Tea, 0.0034602076124567475
1553019661611, 3, A, Chair, 0.009836065573770493
1553019661611, 3, B, Chair, 0.004098360655737705
1553019661611, 3, D, Chair, 0.005291005291005291
1553196062079, 0, A, Clock, 0.006345177664974619
1553196062079, 0, B, Clock, 0.004145077720207254
1553196062079, 0, C, Clock, 0.005025125628140704
1553196062079, 0, D, Clock, 0.006791171477079796
1553196062079, 1, A, Chair, 0.0016025641025641025
1553196062079, 1, B, Chair, 0.004596191726854892
1553196062079, 1, C, Chair, 0.0014265335235378032
1553196062079, 2, A, Tea, 0.0011890606420927466
1553196062079, 2, B, Tea, 0.0041841004184100415
1553196062079, 2, C, Tea, 0.007438894792773645
1553196062079, 2, D, Tea, 0.004525332021642892
1553196062079, 3, B, Light, 0.0015220700152207
1553196062079, 3, C, Light, 0.000968710646130001
1553196062079, 3, D, Light, 0.0015061753188071092
1553180462276, 0, A, Light, 0.0016097875080489374
1553180462276, 0, B, Light, 0.0018731602890018732
1553180462276, 0, C, Light, 0.0008201202843083652
1553180462276, 1, B, Tea, 0.009345794392523364
1553180462276, 1, D, Tea, 0.0041025641025641026
1553180462276, 2, A, Clock, 0.009732360097323601
1553180462276, 2, B, Clock, 0.005089058524173028
1553180462276, 2, C, Clock, 0.0022888056595921765
1553180462276, 2, D, Clock, 0.005681818181818182
1553180462276, 3, B, Chair, 0.0070880094506792675
1553180462276, 3, C, Chair, 0.004341534008683068
1553180462276, 3, D, Chair, 0.0025031289111389237
1553172662087, 0, C, Light, 0.000671366230278617
1553172662087, 0, D, Light, 0.0006668889629876625
1553172662087, 1, A, Tea, 0.002626970227670753
1553172662087, 1, C, Tea, 0.0002522704339051463
1553172662087, 1, D, Tea, 0.001639344262295082
1553172662087, 2, A, Chair, 0.008875739644970414
1553172662087, 2, B, Chair, 0.0043975373790677225
1553172662087, 2, D, Chair, 0.0027314941272876263
1553172662087, 3, A, Stool, 0.0022338049143708115
1553172662087, 3, B, Stool, 0.0005311379630859116
1553172662087, 3, C, Stool, 0.0009615384615384616
1553172662087, 3, D, Stool, 0.003961965134706815
1553010760733, 0, A, Chair, 0.0016501650165016502
1553010760733, 0, B, Chair, 0.0024509803921568627
1553010760733, 0, C, Chair, 0.0051635111876075735
1553010760733, 0, D, Chair, 0.003821656050955414
1553010760733, 1, A, Clock, 0.004975124378109453
1553010760733, 1, B, Clock, 0.009036144578313253
1553010760733, 1, C, Clock, 0.006589785831960461
1553010760733, 1, D, Clock, 0.003925967470555244
1553010760733, 2, A, Light, 0.0005044136191677175
1553010760733, 2, D, Light, 0.004008016032064128
1553010760733, 3, A, Tea, 0.004247460757156048
1553010760733, 3, B, Tea, 0.003695491500369549
1553010760733, 3, C, Tea, 0.001032258064516129
1553177461720, 0, A, Stool, 0.00408997955010225
1553177461720, 0, C, Stool, 0.0020491803278688526
1553177461720, 0, D, Stool, 0.003105590062111801
1553177461720, 1, A, Light, 0.0015535991714137752
1553177461720, 1, B, Light, 0.0007850525985241011
1553177461720, 1, D, Light, 0.0012903225806451613
1553177461720, 2, A, Tea, 0.002097902097902098
1553177461720, 2, B, Tea, 0.002036659877800407
1553177461720, 2, C, Tea, 0.0014947683109118087
1553177461720, 3, A, Chair, 0.0011123470522803114
1553177461720, 3, D, Chair, 0.008264462809917356
1553176861652, 0, A, Light, 0.0006295247088448222
1553176861652, 0, B, Light, 0.00028843380444188056
1553176861652, 0, C, Light, 0.0006512536633018561
1553176861652, 1, A, Chair, 0.006185567010309278
1553176861652, 1, B, Chair, 0.007385524372230428
1553176861652, 1, C, Chair, 0.006172839506172839
1553176861652, 1, D, Chair, 0.004638833664678595
1553176861652, 2, A, Tea, 0.0012515644555694619
1553176861652, 2, B, Tea, 0.00591016548463357
1553176861652, 2, C, Tea, 0.0017889087656529517
1553176861652, 2, D, Tea, 0.006756756756756757
1553176861652, 3, A, Clock, 0.009433962264150943
1553176861652, 3, B, Clock, 0.005660377358490566
1553176861652, 3, C, Clock, 0.0033500837520938024
1553176861652, 3, D, Clock, 0.011876484560570071
1553201461913, 0, A, Clock, 0.00425531914893617
1553201461913, 0, B, Clock, 0.01276595744680851
1553201461913, 0, C, Clock, 0.001287001287001287
1553201461913, 0, D, Clock, 0.006122448979591836
1553201461913, 1, A, Tea, 0.00546448087431694
1553201461913, 1, B, Tea, 0.009107468123861567
1553201461913, 1, C, Tea, 0.001846381093057607
1553201461913, 1, D, Tea, 0.007380073800738007
1553201461913, 2, A, Light, 0.0037105751391465678
1553201461913, 2, C, Light, 0.0012072434607645875
1553201461913, 2, D, Light, 0.0017873100983020554
1553201461913, 3, A, Chair, 0.005338078291814947
1553201461913, 3, B, Chair, 0.003464203233256351
1553201461913, 3, D, Chair, 0.005859375
1553169662360, 0, B, Chair, 0.008676789587852495
1553169662360, 0, C, Chair, 0.0022988505747126436
1553169662360, 0, D, Chair, 0.004912280701754386
1553169662360, 1, A, Stool, 0.004522840343735866
1553169662360, 1, B, Stool, 0.0018975332068311196
1553169662360, 1, C, Stool, 0.003701418877236274
1553169662360, 1, D, Stool, 0.002420135527589545
1553169662360, 2, A, Tea, 0.006787330316742082
1553169662360, 2, B, Tea, 0.0055248618784530384
1553169662360, 2, C, Tea, 0.0002723311546840959
1553169662360, 2, D, Tea, 0.0025031289111389237
1553169662360, 3, A, Light, 0.00015827793605571383
1553169662360, 3, B, Light, 0.0011419870574800152
1553175061606, 0, A, Clock, 0.0050335570469798654
1553175061606, 0, B, Clock, 0.005190311418685121
1553175061606, 0, C, Clock, 0.0034542314335060447
1553175061606, 1, A, Tea, 0.0061823802163833074
1553175061606, 1, B, Tea, 0.009628610729023384
1553175061606, 1, C, Tea, 0.0008016032064128256
1553175061606, 2, B, Light, 0.00011807072436389397
1553175061606, 2, D, Light, 0.0017931858936043037
1553175061606, 3, A, Stool, 0.001195219123505976
1553175061606, 3, B, Stool, 0.004604051565377533
1553175061606, 3, C, Stool, 0.0012738853503184713
1553175061606, 3, D, Stool, 0.001554001554001554
1553021461648, 0, B, Light, 0.00029027576197387516
1553021461648, 0, D, Light, 0.002034587995930824
1553021461648, 1, A, Clock, 0.0053475935828877
1553021461648, 1, B, Clock, 0.002347417840375587
1553021461648, 1, C, Clock, 0.020588235294117647
1553021461648, 2, A, Tea, 0.001638001638001638
1553021461648, 2, C, Tea, 0.002531645569620253
1553021461648, 2, D, Tea, 0.0048
1553021461648, 3, A, Chair, 0.0049680624556423
1553021461648, 3, B, Chair, 0.007339449541284404
1553021461648, 3, C, Chair, 0.008415147265077139
1553021461648, 3, D, Chair, 0.0031446540880503146
1553199661488, 0, A, Clock, 0.004508566275924256
1553199661488, 0, C, Clock, 0.009009009009009009
1553199661488, 1, A, Stool, 0.002426202992317024
1553199661488, 1, B, Stool, 0.0029455081001472753
1553199661488, 1, C, Stool, 0.0012406947890818859
1553199661488, 2, B, Chair, 0.0057306590257879654
1553199661488, 2, C, Chair, 0.002070393374741201
1553199661488, 3, A, Tea, 0.003933136676499509
1553199661488, 3, B, Tea, 0.003946652150244964
1553199661488, 3, C, Tea, 0.004285714285714286
1553199661488, 3, D, Tea, 0.002932551319648094
1553198462284, 0, A, Stool, 0.0010559662090813093
1553198462284, 0, B, Stool, 0.0011627906976744186
1553198462284, 0, C, Stool, 0.0036877688998156115
1553198462284, 0, D, Stool, 0.0046875
1553198462284, 1, A, Clock, 0.010183299389002037
1553198462284, 1, B, Clock, 0.0024009603841536613
1553198462284, 1, C, Clock, 0.003303964757709251
1553198462284, 1, D, Clock, 0.003937007874015748
1553198462284, 2, B, Light, 0.0018537590113285273
1553198462284, 2, C, Light, 0.0013229457592238718
1553198462284, 2, D, Light, 0.0009295408068414204
1553198462284, 3, A, Chair, 0.002257336343115124
1553198462284, 3, C, Chair, 0.002631578947368421
1553198462284, 3, D, Chair, 0.001589825119236884
1553181661900, 0, B, Tea, 0.0033277870216306157
1553181661900, 1, A, Chair, 0.0031982942430703624
1553181661900, 1, C, Chair, 0.005244755244755245
1553181661900, 2, A, Stool, 0.0027262813522355507
1553181661900, 2, B, Stool, 0.0014590020426028597
1553181661900, 2, C, Stool, 0.002201430930104568
1553181661900, 2, D, Stool, 0.001294665976178146
1553181661900, 3, A, Light, 0.0008009611533840609
1553181661900, 3, C, Light, 0.00023901092931794972
1553100662161, 2, A, Light, 0.0007057163020465773
1553100662161, 2, B, Light, 0.0005215123859191656
1553100662161, 2, C, Light, 0.00039408866995073894
1553100662161, 3, A, Clock, 0.006433823529411764
1553100662161, 3, B, Clock, 0.0057306590257879654
1553100662161, 3, C, Clock, 0.01569506726457399
1553174461586, 1, A, Clock, 0.00676328502415459
1553174461586, 1, B, Clock, 0.0016129032258064516
1553174461586, 1, C, Clock, 0.0023121387283236996
1553174461586, 1, D, Clock, 0.011494252873563218
1553174461586, 2, A, Stool, 0.0035301668806161745
1553174461586, 2, B, Stool, 0.0035103115401491883
1553174461586, 2, C, Stool, 0.0003348961821835231
1553174461586, 2, D, Stool, 0.0017322444939371442
1553174461586, 3, A, Chair, 0.0019723865877712033
1553174461586, 3, C, Chair, 0.0015220700152207
1553179862174, 1, A, Light, 0.0004253509145044662
1553179862174, 1, B, Light, 0.0008410428931875525
1553179862174, 2, A, Clock, 0.008565310492505354
1553200861903, 0, A, Clock, 0.0033783783783783786
1553200861903, 0, B, Clock, 0.0058823529411764705
1553200861903, 0, C, Clock, 0.011627906976744186
1553200861903, 0, D, Clock, 0.004830917874396135
1553200861903, 1, A, Light, 0.000969743987587277
1553200861903, 1, D, Light, 0.0002969121140142518
1553200861903, 2, A, Tea, 0.0027598896044158236
1553200861903, 2, B, Tea, 0.0170316301703163
1553200861903, 2, C, Tea, 0.004283489096573208
1553200861903, 2, D, Tea, 0.0009199632014719411
1553200861903, 3, A, Chair, 0.009771986970684038
1553200861903, 3, C, Chair, 0.008298755186721992
1554217261920, 0, A, Intellective3, 0.6560297299
1554217261920, 0, B, Intellective3, 0.62211839
1554217261920, 0, C, Intellective3, 0.5147721865
1554217261920, 0, D, Intellective3, 0.917134658
1554217261920, 1, A, Intellective4, 0.001250545873
1554217261920, 1, B, Intellective4, 0.03402052514
1554217261920, 1, C, Intellective4, 0.171198539
1554217261920, 1, D, Intellective4, 0.388346437
1554217261920, 2, A, Intellective1, 4.115688154
1554217261920, 2, B, Intellective1, 3.312582192
1554217261920, 2, C, Intellective1, 7.817643385
1554217261920, 2, D, Intellective1, 1.309692577
1554217261920, 3, A, Intellective2, 6.219697713
1554217261920, 3, B, Intellective2, 4.048208619
1554217261920, 3, C, Intellective2, 4.104062447
1554217261920, 3, D, Intellective2, 3.267366377
1554296461500, 0, A, Intellective3, 0.5861390585
